sampleID	Plasmid_Dose	Replicate	TF	Well	CellType	PlateNum	TF_Dose	sampleName	peakFilename	bamFilenameFull
174	0.75	2	IKZF2	B3	HEK293T	2	IKZF2_0.75	174_HEK293T_P2B3_IKZF2_d075	../../output/01-preprocessing/output/peaks/HEK293T_P2B3_IKZF2_d075_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2B3_IKZF2_d075.noMT.filtered.deduped.bam
175	0.75	1	LEF1	C3	HEK293T	2	LEF1_0.75	175_HEK293T_P2C3_LEF1_d075	../../output/01-preprocessing/output/peaks/HEK293T_P2C3_LEF1_d075_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2C3_LEF1_d075.noMT.filtered.deduped.bam
176	0.75	2	LEF1	D3	HEK293T	2	LEF1_0.75	176_HEK293T_P2D3_LEF1_d075	../../output/01-preprocessing/output/peaks/HEK293T_P2D3_LEF1_d075_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2D3_LEF1_d075.noMT.filtered.deduped.bam
177	0.75	1	NR4A1	E3	HEK293T	2	NR4A1_0.75	177_HEK293T_P2E3_NR4A1_d075	../../output/01-preprocessing/output/peaks/HEK293T_P2E3_NR4A1_d075_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2E3_NR4A1_d075.noMT.filtered.deduped.bam
178	0.75	2	NR4A1	F3	HEK293T	2	NR4A1_0.75	178_HEK293T_P2F3_NR4A1_d075	../../output/01-preprocessing/output/peaks/HEK293T_P2F3_NR4A1_d075_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2F3_NR4A1_d075.noMT.filtered.deduped.bam
179	0.75	1	PRDM1	G3	HEK293T	2	PRDM1_0.75	179_HEK293T_P2G3_PRDM1_d075	../../output/01-preprocessing/output/peaks/HEK293T_P2G3_PRDM1_d075_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2G3_PRDM1_d075.noMT.filtered.deduped.bam
180	0.75	2	PRDM1	H3	HEK293T	2	PRDM1_0.75	180_HEK293T_P2H3_PRDM1_d075	../../output/01-preprocessing/output/peaks/HEK293T_P2H3_PRDM1_d075_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2H3_PRDM1_d075.noMT.filtered.deduped.bam
181	0.5	1	IKZF2	A4	HEK293T	2	IKZF2_0.5	181_HEK293T_P2A4_IKZF2_d050	../../output/01-preprocessing/output/peaks/HEK293T_P2A4_IKZF2_d050_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2A4_IKZF2_d050.noMT.filtered.deduped.bam
182	0.5	2	IKZF2	B4	HEK293T	2	IKZF2_0.5	182_HEK293T_P2B4_IKZF2_d050	../../output/01-preprocessing/output/peaks/HEK293T_P2B4_IKZF2_d050_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2B4_IKZF2_d050.noMT.filtered.deduped.bam
183	0.5	1	LEF1	C4	HEK293T	2	LEF1_0.5	183_HEK293T_P2C4_LEF1_d050	../../output/01-preprocessing/output/peaks/HEK293T_P2C4_LEF1_d050_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2C4_LEF1_d050.noMT.filtered.deduped.bam
184	0.5	2	LEF1	D4	HEK293T	2	LEF1_0.5	184_HEK293T_P2D4_LEF1_d050	../../output/01-preprocessing/output/peaks/HEK293T_P2D4_LEF1_d050_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2D4_LEF1_d050.noMT.filtered.deduped.bam
185	0.5	1	NR4A1	E4	HEK293T	2	NR4A1_0.5	185_HEK293T_P2E4_NR4A1_d050	../../output/01-preprocessing/output/peaks/HEK293T_P2E4_NR4A1_d050_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2E4_NR4A1_d050.noMT.filtered.deduped.bam
186	0.5	2	NR4A1	F4	HEK293T	2	NR4A1_0.5	186_HEK293T_P2F4_NR4A1_d050	../../output/01-preprocessing/output/peaks/HEK293T_P2F4_NR4A1_d050_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2F4_NR4A1_d050.noMT.filtered.deduped.bam
187	0.5	1	PRDM1	G4	HEK293T	2	PRDM1_0.5	187_HEK293T_P2G4_PRDM1_d050	../../output/01-preprocessing/output/peaks/HEK293T_P2G4_PRDM1_d050_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2G4_PRDM1_d050.noMT.filtered.deduped.bam
188	0.5	2	PRDM1	H4	HEK293T	2	PRDM1_0.5	188_HEK293T_P2H4_PRDM1_d050	../../output/01-preprocessing/output/peaks/HEK293T_P2H4_PRDM1_d050_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2H4_PRDM1_d050.noMT.filtered.deduped.bam
189	0.25	1	IKZF2	A5	HEK293T	2	IKZF2_0.25	189_HEK293T_P2A5_IKZF2_d025	../../output/01-preprocessing/output/peaks/HEK293T_P2A5_IKZF2_d025_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2A5_IKZF2_d025.noMT.filtered.deduped.bam
190	0.25	2	IKZF2	B5	HEK293T	2	IKZF2_0.25	190_HEK293T_P2B5_IKZF2_d025	../../output/01-preprocessing/output/peaks/HEK293T_P2B5_IKZF2_d025_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2B5_IKZF2_d025.noMT.filtered.deduped.bam
191	0.25	1	LEF1	C5	HEK293T	2	LEF1_0.25	191_HEK293T_P2C5_LEF1_d025	../../output/01-preprocessing/output/peaks/HEK293T_P2C5_LEF1_d025_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2C5_LEF1_d025.noMT.filtered.deduped.bam
192	0.25	2	LEF1	D5	HEK293T	2	LEF1_0.25	192_HEK293T_P2D5_LEF1_d025	../../output/01-preprocessing/output/peaks/HEK293T_P2D5_LEF1_d025_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2D5_LEF1_d025.noMT.filtered.deduped.bam
193	0.25	1	NR4A1	E5	HEK293T	2	NR4A1_0.25	193_HEK293T_P2E5_NR4A1_d025	../../output/01-preprocessing/output/peaks/HEK293T_P2E5_NR4A1_d025_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2E5_NR4A1_d025.noMT.filtered.deduped.bam
194	0.25	2	NR4A1	F5	HEK293T	2	NR4A1_0.25	194_HEK293T_P2F5_NR4A1_d025	../../output/01-preprocessing/output/peaks/HEK293T_P2F5_NR4A1_d025_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2F5_NR4A1_d025.noMT.filtered.deduped.bam
195	0.25	1	PRDM1	G5	HEK293T	2	PRDM1_0.25	195_HEK293T_P2G5_PRDM1_d025	../../output/01-preprocessing/output/peaks/HEK293T_P2G5_PRDM1_d025_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2G5_PRDM1_d025.noMT.filtered.deduped.bam
196	0.25	2	PRDM1	H5	HEK293T	2	PRDM1_0.25	196_HEK293T_P2H5_PRDM1_d025	../../output/01-preprocessing/output/peaks/HEK293T_P2H5_PRDM1_d025_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2H5_PRDM1_d025.noMT.filtered.deduped.bam
197	0.05	1	IKZF2	A6	HEK293T	2	IKZF2_0.05	197_HEK293T_P2A6_IKZF2_d005	../../output/01-preprocessing/output/peaks/HEK293T_P2A6_IKZF2_d005_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2A6_IKZF2_d005.noMT.filtered.deduped.bam
198	0.05	2	IKZF2	B6	HEK293T	2	IKZF2_0.05	198_HEK293T_P2B6_IKZF2_d005	../../output/01-preprocessing/output/peaks/HEK293T_P2B6_IKZF2_d005_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2B6_IKZF2_d005.noMT.filtered.deduped.bam
199	0.05	1	LEF1	C6	HEK293T	2	LEF1_0.05	199_HEK293T_P2C6_LEF1_d005	../../output/01-preprocessing/output/peaks/HEK293T_P2C6_LEF1_d005_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2C6_LEF1_d005.noMT.filtered.deduped.bam
200	0.05	2	LEF1	D6	HEK293T	2	LEF1_0.05	200_HEK293T_P2D6_LEF1_d005	../../output/01-preprocessing/output/peaks/HEK293T_P2D6_LEF1_d005_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2D6_LEF1_d005.noMT.filtered.deduped.bam
201	0.05	1	NR4A1	E6	HEK293T	2	NR4A1_0.05	201_HEK293T_P2E6_NR4A1_d005	../../output/01-preprocessing/output/peaks/HEK293T_P2E6_NR4A1_d005_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2E6_NR4A1_d005.noMT.filtered.deduped.bam
202	0.05	2	NR4A1	F6	HEK293T	2	NR4A1_0.05	202_HEK293T_P2F6_NR4A1_d005	../../output/01-preprocessing/output/peaks/HEK293T_P2F6_NR4A1_d005_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2F6_NR4A1_d005.noMT.filtered.deduped.bam
203	0.05	1	PRDM1	G6	HEK293T	2	PRDM1_0.05	203_HEK293T_P2G6_PRDM1_d005	../../output/01-preprocessing/output/peaks/HEK293T_P2G6_PRDM1_d005_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2G6_PRDM1_d005.noMT.filtered.deduped.bam
204	0.05	2	PRDM1	H6	HEK293T	2	PRDM1_0.05	204_HEK293T_P2H6_PRDM1_d005	../../output/01-preprocessing/output/peaks/HEK293T_P2H6_PRDM1_d005_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2H6_PRDM1_d005.noMT.filtered.deduped.bam
205	1	1	XBP1	A7	HEK293T	2	XBP1_1	205_HEK293T_P2A7_XBP1_d100	../../output/01-preprocessing/output/peaks/HEK293T_P2A7_XBP1_d100_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2A7_XBP1_d100.noMT.filtered.deduped.bam
206	1	2	XBP1	B7	HEK293T	2	XBP1_1	206_HEK293T_P2B7_XBP1_d100	../../output/01-preprocessing/output/peaks/HEK293T_P2B7_XBP1_d100_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2B7_XBP1_d100.noMT.filtered.deduped.bam
207	1	1	ALX4	C7	HEK293T	2	ALX4_1	207_HEK293T_P2C7_ALX4_d100	../../output/01-preprocessing/output/peaks/HEK293T_P2C7_ALX4_d100_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2C7_ALX4_d100.noMT.filtered.deduped.bam
208	1	2	ALX4	D7	HEK293T	2	ALX4_1	208_HEK293T_P2D7_ALX4_d100	../../output/01-preprocessing/output/peaks/HEK293T_P2D7_ALX4_d100_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2D7_ALX4_d100.noMT.filtered.deduped.bam
209	1	1	TCF3	E7	HEK293T	2	TCF3_1	209_HEK293T_P2E7_TCF3_d100	../../output/01-preprocessing/output/peaks/HEK293T_P2E7_TCF3_d100_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2E7_TCF3_d100.noMT.filtered.deduped.bam
210	1	2	TCF3	F7	HEK293T	2	TCF3_1	210_HEK293T_P2F7_TCF3_d100	../../output/01-preprocessing/output/peaks/HEK293T_P2F7_TCF3_d100_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2F7_TCF3_d100.noMT.filtered.deduped.bam
211	1	1	MXD1	G7	HEK293T	2	MXD1_1	211_HEK293T_P2G7_MXD1_d100	../../output/01-preprocessing/output/peaks/HEK293T_P2G7_MXD1_d100_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2G7_MXD1_d100.noMT.filtered.deduped.bam
212	1	2	MXD1	H7	HEK293T	2	MXD1_1	212_HEK293T_P2H7_MXD1_d100	../../output/01-preprocessing/output/peaks/HEK293T_P2H7_MXD1_d100_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2H7_MXD1_d100.noMT.filtered.deduped.bam
213	0.75	1	XBP1	A8	HEK293T	2	XBP1_0.75	213_HEK293T_P2A8_XBP1_d075	../../output/01-preprocessing/output/peaks/HEK293T_P2A8_XBP1_d075_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2A8_XBP1_d075.noMT.filtered.deduped.bam
214	0.75	2	XBP1	B8	HEK293T	2	XBP1_0.75	214_HEK293T_P2B8_XBP1_d075	../../output/01-preprocessing/output/peaks/HEK293T_P2B8_XBP1_d075_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2B8_XBP1_d075.noMT.filtered.deduped.bam
215	0.75	1	ALX4	C8	HEK293T	2	ALX4_0.75	215_HEK293T_P2C8_ALX4_d075	../../output/01-preprocessing/output/peaks/HEK293T_P2C8_ALX4_d075_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2C8_ALX4_d075.noMT.filtered.deduped.bam
216	0.75	2	ALX4	D8	HEK293T	2	ALX4_0.75	216_HEK293T_P2D8_ALX4_d075	../../output/01-preprocessing/output/peaks/HEK293T_P2D8_ALX4_d075_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2D8_ALX4_d075.noMT.filtered.deduped.bam
217	0.75	1	TCF3	E8	HEK293T	2	TCF3_0.75	217_HEK293T_P2E8_TCF3_d075	../../output/01-preprocessing/output/peaks/HEK293T_P2E8_TCF3_d075_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2E8_TCF3_d075.noMT.filtered.deduped.bam
218	0.75	2	TCF3	F8	HEK293T	2	TCF3_0.75	218_HEK293T_P2F8_TCF3_d075	../../output/01-preprocessing/output/peaks/HEK293T_P2F8_TCF3_d075_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2F8_TCF3_d075.noMT.filtered.deduped.bam
219	0.75	1	MXD1	G8	HEK293T	2	MXD1_0.75	219_HEK293T_P2G8_MXD1_d075	../../output/01-preprocessing/output/peaks/HEK293T_P2G8_MXD1_d075_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2G8_MXD1_d075.noMT.filtered.deduped.bam
220	0.75	2	MXD1	H8	HEK293T	2	MXD1_0.75	220_HEK293T_P2H8_MXD1_d075	../../output/01-preprocessing/output/peaks/HEK293T_P2H8_MXD1_d075_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2H8_MXD1_d075.noMT.filtered.deduped.bam
221	0.5	1	XBP1	A9	HEK293T	2	XBP1_0.5	221_HEK293T_P2A9_XBP1_d050	../../output/01-preprocessing/output/peaks/HEK293T_P2A9_XBP1_d050_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2A9_XBP1_d050.noMT.filtered.deduped.bam
222	0.5	2	XBP1	B9	HEK293T	2	XBP1_0.5	222_HEK293T_P2B9_XBP1_d050	../../output/01-preprocessing/output/peaks/HEK293T_P2B9_XBP1_d050_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2B9_XBP1_d050.noMT.filtered.deduped.bam
223	0.5	1	ALX4	C9	HEK293T	2	ALX4_0.5	223_HEK293T_P2C9_ALX4_d050	../../output/01-preprocessing/output/peaks/HEK293T_P2C9_ALX4_d050_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2C9_ALX4_d050.noMT.filtered.deduped.bam
224	0.5	2	ALX4	D9	HEK293T	2	ALX4_0.5	224_HEK293T_P2D9_ALX4_d050	../../output/01-preprocessing/output/peaks/HEK293T_P2D9_ALX4_d050_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2D9_ALX4_d050.noMT.filtered.deduped.bam
225	0.5	1	TCF3	E9	HEK293T	2	TCF3_0.5	225_HEK293T_P2E9_TCF3_d050	../../output/01-preprocessing/output/peaks/HEK293T_P2E9_TCF3_d050_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2E9_TCF3_d050.noMT.filtered.deduped.bam
226	0.5	2	TCF3	F9	HEK293T	2	TCF3_0.5	226_HEK293T_P2F9_TCF3_d050	../../output/01-preprocessing/output/peaks/HEK293T_P2F9_TCF3_d050_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2F9_TCF3_d050.noMT.filtered.deduped.bam
227	0.5	1	MXD1	G9	HEK293T	2	MXD1_0.5	227_HEK293T_P2G9_MXD1_d050	../../output/01-preprocessing/output/peaks/HEK293T_P2G9_MXD1_d050_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2G9_MXD1_d050.noMT.filtered.deduped.bam
228	0.5	2	MXD1	H9	HEK293T	2	MXD1_0.5	228_HEK293T_P2H9_MXD1_d050	../../output/01-preprocessing/output/peaks/HEK293T_P2H9_MXD1_d050_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2H9_MXD1_d050.noMT.filtered.deduped.bam
229	0.25	1	XBP1	A10	HEK293T	2	XBP1_0.25	229_HEK293T_P2A10_XBP1_d025	../../output/01-preprocessing/output/peaks/HEK293T_P2A10_XBP1_d025_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2A10_XBP1_d025.noMT.filtered.deduped.bam
230	0.25	2	XBP1	B10	HEK293T	2	XBP1_0.25	230_HEK293T_P2B10_XBP1_d025	../../output/01-preprocessing/output/peaks/HEK293T_P2B10_XBP1_d025_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2B10_XBP1_d025.noMT.filtered.deduped.bam
231	0.25	1	ALX4	C10	HEK293T	2	ALX4_0.25	231_HEK293T_P2C10_ALX4_d025	../../output/01-preprocessing/output/peaks/HEK293T_P2C10_ALX4_d025_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2C10_ALX4_d025.noMT.filtered.deduped.bam
232	0.25	2	ALX4	D10	HEK293T	2	ALX4_0.25	232_HEK293T_P2D10_ALX4_d025	../../output/01-preprocessing/output/peaks/HEK293T_P2D10_ALX4_d025_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2D10_ALX4_d025.noMT.filtered.deduped.bam
233	0.25	1	TCF3	E10	HEK293T	2	TCF3_0.25	233_HEK293T_P2E10_TCF3_d025	../../output/01-preprocessing/output/peaks/HEK293T_P2E10_TCF3_d025_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2E10_TCF3_d025.noMT.filtered.deduped.bam
234	0.25	2	TCF3	F10	HEK293T	2	TCF3_0.25	234_HEK293T_P2F10_TCF3_d025	../../output/01-preprocessing/output/peaks/HEK293T_P2F10_TCF3_d025_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2F10_TCF3_d025.noMT.filtered.deduped.bam
235	0.25	1	MXD1	G10	HEK293T	2	MXD1_0.25	235_HEK293T_P2G10_MXD1_d025	../../output/01-preprocessing/output/peaks/HEK293T_P2G10_MXD1_d025_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2G10_MXD1_d025.noMT.filtered.deduped.bam
236	0.25	2	MXD1	H10	HEK293T	2	MXD1_0.25	236_HEK293T_P2H10_MXD1_d025	../../output/01-preprocessing/output/peaks/HEK293T_P2H10_MXD1_d025_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2H10_MXD1_d025.noMT.filtered.deduped.bam
237	0.05	1	XBP1	A11	HEK293T	2	XBP1_0.05	237_HEK293T_P2A11_XBP1_d005	../../output/01-preprocessing/output/peaks/HEK293T_P2A11_XBP1_d005_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2A11_XBP1_d005.noMT.filtered.deduped.bam
238	0.05	2	XBP1	B11	HEK293T	2	XBP1_0.05	238_HEK293T_P2B11_XBP1_d005	../../output/01-preprocessing/output/peaks/HEK293T_P2B11_XBP1_d005_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2B11_XBP1_d005.noMT.filtered.deduped.bam
239	0.05	1	ALX4	C11	HEK293T	2	ALX4_0.05	239_HEK293T_P2C11_ALX4_d005	../../output/01-preprocessing/output/peaks/HEK293T_P2C11_ALX4_d005_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2C11_ALX4_d005.noMT.filtered.deduped.bam
240	0.05	2	ALX4	D11	HEK293T	2	ALX4_0.05	240_HEK293T_P2D11_ALX4_d005	../../output/01-preprocessing/output/peaks/HEK293T_P2D11_ALX4_d005_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2D11_ALX4_d005.noMT.filtered.deduped.bam
241	0.05	1	TCF3	E11	HEK293T	2	TCF3_0.05	241_HEK293T_P2E11_TCF3_d005	../../output/01-preprocessing/output/peaks/HEK293T_P2E11_TCF3_d005_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2E11_TCF3_d005.noMT.filtered.deduped.bam
242	0.05	2	TCF3	F11	HEK293T	2	TCF3_0.05	242_HEK293T_P2F11_TCF3_d005	../../output/01-preprocessing/output/peaks/HEK293T_P2F11_TCF3_d005_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2F11_TCF3_d005.noMT.filtered.deduped.bam
243	0.05	1	MXD1	G11	HEK293T	2	MXD1_0.05	243_HEK293T_P2G11_MXD1_d005	../../output/01-preprocessing/output/peaks/HEK293T_P2G11_MXD1_d005_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2G11_MXD1_d005.noMT.filtered.deduped.bam
244	0.05	2	MXD1	H11	HEK293T	2	MXD1_0.05	244_HEK293T_P2H11_MXD1_d005	../../output/01-preprocessing/output/peaks/HEK293T_P2H11_MXD1_d005_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2H11_MXD1_d005.noMT.filtered.deduped.bam
245	1	1	GFP	A12	HEK293T	2	GFP_1	245_HEK293T_P2A12_GFP_d100	../../output/01-preprocessing/output/peaks/HEK293T_P2A12_GFP_d100_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2A12_GFP_d100.noMT.filtered.deduped.bam
246	1	2	GFP	B12	HEK293T	2	GFP_1	246_HEK293T_P2B12_GFP_d100	../../output/01-preprocessing/output/peaks/HEK293T_P2B12_GFP_d100_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2B12_GFP_d100.noMT.filtered.deduped.bam
329	1	1	OCT4	A2	HEK293T	3	OCT4_1	329_HEK293T_P3A2_OCT4_d100	../../output/01-preprocessing/output/peaks/HEK293T_P3A2_OCT4_d100_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P3A2_OCT4_d100.noMT.filtered.deduped.bam
330	1	2	OCT4	B2	HEK293T	3	OCT4_1	330_HEK293T_P3B2_OCT4_d100	../../output/01-preprocessing/output/peaks/HEK293T_P3B2_OCT4_d100_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P3B2_OCT4_d100.noMT.filtered.deduped.bam
331	1	1	KLF4	C2	HEK293T	3	KLF4_1	331_HEK293T_P3C2_KLF4_d100	../../output/01-preprocessing/output/peaks/HEK293T_P3C2_KLF4_d100_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P3C2_KLF4_d100.noMT.filtered.deduped.bam
332	1	2	KLF4	D2	HEK293T	3	KLF4_1	332_HEK293T_P3D2_KLF4_d100	../../output/01-preprocessing/output/peaks/HEK293T_P3D2_KLF4_d100_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P3D2_KLF4_d100.noMT.filtered.deduped.bam
333	1	1	KLF1	E2	HEK293T	3	KLF1_1	333_HEK293T_P3E2_KLF1_d100	../../output/01-preprocessing/output/peaks/HEK293T_P3E2_KLF1_d100_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P3E2_KLF1_d100.noMT.filtered.deduped.bam
334	1	2	KLF1	F2	HEK293T	3	KLF1_1	334_HEK293T_P3F2_KLF1_d100	../../output/01-preprocessing/output/peaks/HEK293T_P3F2_KLF1_d100_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P3F2_KLF1_d100.noMT.filtered.deduped.bam
335	1	3	KLF1	G2	HEK293T	3	KLF1_1	335_HEK293T_P3G2_KLF1_d100	../../output/01-preprocessing/output/peaks/HEK293T_P3G2_KLF1_d100_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P3G2_KLF1_d100.noMT.filtered.deduped.bam
336	1	4	KLF1	H2	HEK293T	3	KLF1_1	336_HEK293T_P3H2_KLF1_d100	../../output/01-preprocessing/output/peaks/HEK293T_P3H2_KLF1_d100_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P3H2_KLF1_d100.noMT.filtered.deduped.bam
337	0.75	1	OCT4	A3	HEK293T	3	OCT4_0.75	337_HEK293T_P3A3_OCT4_d075	../../output/01-preprocessing/output/peaks/HEK293T_P3A3_OCT4_d075_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P3A3_OCT4_d075.noMT.filtered.deduped.bam
338	0.75	2	OCT4	B3	HEK293T	3	OCT4_0.75	338_HEK293T_P3B3_OCT4_d075	../../output/01-preprocessing/output/peaks/HEK293T_P3B3_OCT4_d075_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P3B3_OCT4_d075.noMT.filtered.deduped.bam
339	0.75	1	KLF4	C3	HEK293T	3	KLF4_0.75	339_HEK293T_P3C3_KLF4_d075	../../output/01-preprocessing/output/peaks/HEK293T_P3C3_KLF4_d075_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P3C3_KLF4_d075.noMT.filtered.deduped.bam
340	0.75	2	KLF4	D3	HEK293T	3	KLF4_0.75	340_HEK293T_P3D3_KLF4_d075	../../output/01-preprocessing/output/peaks/HEK293T_P3D3_KLF4_d075_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P3D3_KLF4_d075.noMT.filtered.deduped.bam
341	0.75	1	KLF1	E3	HEK293T	3	KLF1_0.75	341_HEK293T_P3E3_KLF1_d075	../../output/01-preprocessing/output/peaks/HEK293T_P3E3_KLF1_d075_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P3E3_KLF1_d075.noMT.filtered.deduped.bam
342	0.75	2	KLF1	F3	HEK293T	3	KLF1_0.75	342_HEK293T_P3F3_KLF1_d075	../../output/01-preprocessing/output/peaks/HEK293T_P3F3_KLF1_d075_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P3F3_KLF1_d075.noMT.filtered.deduped.bam
343	0.75	3	KLF1	G3	HEK293T	3	KLF1_0.75	343_HEK293T_P3G3_KLF1_d075	../../output/01-preprocessing/output/peaks/HEK293T_P3G3_KLF1_d075_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P3G3_KLF1_d075.noMT.filtered.deduped.bam
344	0.75	4	KLF1	H3	HEK293T	3	KLF1_0.75	344_HEK293T_P3H3_KLF1_d075	../../output/01-preprocessing/output/peaks/HEK293T_P3H3_KLF1_d075_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P3H3_KLF1_d075.noMT.filtered.deduped.bam
345	0.5	1	OCT4	A4	HEK293T	3	OCT4_0.5	345_HEK293T_P3A4_OCT4_d050	../../output/01-preprocessing/output/peaks/HEK293T_P3A4_OCT4_d050_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P3A4_OCT4_d050.noMT.filtered.deduped.bam
346	0.5	2	OCT4	B4	HEK293T	3	OCT4_0.5	346_HEK293T_P3B4_OCT4_d050	../../output/01-preprocessing/output/peaks/HEK293T_P3B4_OCT4_d050_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P3B4_OCT4_d050.noMT.filtered.deduped.bam
