sampleID	Plasmid_Dose	Replicate	TF	Well	CellType	PlateNum	TF_Dose	sampleName	rnaPath
221	0.5	1	XBP1	A9	HEK293T	2	XBP1_0.5	221_HEK293T_P2A9_XBP1_d050	../../output/03-rna/00/output/kallisto/221_HEK293T_P2A9_XBP1_d050/abundance.h5
222	0.5	2	XBP1	B9	HEK293T	2	XBP1_0.5	222_HEK293T_P2B9_XBP1_d050	../../output/03-rna/00/output/kallisto/222_HEK293T_P2B9_XBP1_d050/abundance.h5
223	0.5	1	ALX4	C9	HEK293T	2	ALX4_0.5	223_HEK293T_P2C9_ALX4_d050	../../output/03-rna/00/output/kallisto/223_HEK293T_P2C9_ALX4_d050/abundance.h5
224	0.5	2	ALX4	D9	HEK293T	2	ALX4_0.5	224_HEK293T_P2D9_ALX4_d050	../../output/03-rna/00/output/kallisto/224_HEK293T_P2D9_ALX4_d050/abundance.h5
225	0.5	1	TCF3	E9	HEK293T	2	TCF3_0.5	225_HEK293T_P2E9_TCF3_d050	../../output/03-rna/00/output/kallisto/225_HEK293T_P2E9_TCF3_d050/abundance.h5
226	0.5	2	TCF3	F9	HEK293T	2	TCF3_0.5	226_HEK293T_P2F9_TCF3_d050	../../output/03-rna/00/output/kallisto/226_HEK293T_P2F9_TCF3_d050/abundance.h5
227	0.5	1	MXD1	G9	HEK293T	2	MXD1_0.5	227_HEK293T_P2G9_MXD1_d050	../../output/03-rna/00/output/kallisto/227_HEK293T_P2G9_MXD1_d050/abundance.h5
228	0.5	2	MXD1	H9	HEK293T	2	MXD1_0.5	228_HEK293T_P2H9_MXD1_d050	../../output/03-rna/00/output/kallisto/228_HEK293T_P2H9_MXD1_d050/abundance.h5
229	0.25	1	XBP1	A10	HEK293T	2	XBP1_0.25	229_HEK293T_P2A10_XBP1_d025	../../output/03-rna/00/output/kallisto/229_HEK293T_P2A10_XBP1_d025/abundance.h5
230	0.25	2	XBP1	B10	HEK293T	2	XBP1_0.25	230_HEK293T_P2B10_XBP1_d025	../../output/03-rna/00/output/kallisto/230_HEK293T_P2B10_XBP1_d025/abundance.h5
231	0.25	1	ALX4	C10	HEK293T	2	ALX4_0.25	231_HEK293T_P2C10_ALX4_d025	../../output/03-rna/00/output/kallisto/231_HEK293T_P2C10_ALX4_d025/abundance.h5
232	0.25	2	ALX4	D10	HEK293T	2	ALX4_0.25	232_HEK293T_P2D10_ALX4_d025	../../output/03-rna/00/output/kallisto/232_HEK293T_P2D10_ALX4_d025/abundance.h5
233	0.25	1	TCF3	E10	HEK293T	2	TCF3_0.25	233_HEK293T_P2E10_TCF3_d025	../../output/03-rna/00/output/kallisto/233_HEK293T_P2E10_TCF3_d025/abundance.h5
234	0.25	2	TCF3	F10	HEK293T	2	TCF3_0.25	234_HEK293T_P2F10_TCF3_d025	../../output/03-rna/00/output/kallisto/234_HEK293T_P2F10_TCF3_d025/abundance.h5
235	0.25	1	MXD1	G10	HEK293T	2	MXD1_0.25	235_HEK293T_P2G10_MXD1_d025	../../output/03-rna/00/output/kallisto/235_HEK293T_P2G10_MXD1_d025/abundance.h5
236	0.25	2	MXD1	H10	HEK293T	2	MXD1_0.25	236_HEK293T_P2H10_MXD1_d025	../../output/03-rna/00/output/kallisto/236_HEK293T_P2H10_MXD1_d025/abundance.h5
237	0.05	1	XBP1	A11	HEK293T	2	XBP1_0.05	237_HEK293T_P2A11_XBP1_d005	../../output/03-rna/00/output/kallisto/237_HEK293T_P2A11_XBP1_d005/abundance.h5
238	0.05	2	XBP1	B11	HEK293T	2	XBP1_0.05	238_HEK293T_P2B11_XBP1_d005	../../output/03-rna/00/output/kallisto/238_HEK293T_P2B11_XBP1_d005/abundance.h5
239	0.05	1	ALX4	C11	HEK293T	2	ALX4_0.05	239_HEK293T_P2C11_ALX4_d005	../../output/03-rna/00/output/kallisto/239_HEK293T_P2C11_ALX4_d005/abundance.h5
240	0.05	2	ALX4	D11	HEK293T	2	ALX4_0.05	240_HEK293T_P2D11_ALX4_d005	../../output/03-rna/00/output/kallisto/240_HEK293T_P2D11_ALX4_d005/abundance.h5
241	0.05	1	TCF3	E11	HEK293T	2	TCF3_0.05	241_HEK293T_P2E11_TCF3_d005	../../output/03-rna/00/output/kallisto/241_HEK293T_P2E11_TCF3_d005/abundance.h5
242	0.05	2	TCF3	F11	HEK293T	2	TCF3_0.05	242_HEK293T_P2F11_TCF3_d005	../../output/03-rna/00/output/kallisto/242_HEK293T_P2F11_TCF3_d005/abundance.h5
243	0.05	1	MXD1	G11	HEK293T	2	MXD1_0.05	243_HEK293T_P2G11_MXD1_d005	../../output/03-rna/00/output/kallisto/243_HEK293T_P2G11_MXD1_d005/abundance.h5
244	0.05	2	MXD1	H11	HEK293T	2	MXD1_0.05	244_HEK293T_P2H11_MXD1_d005	../../output/03-rna/00/output/kallisto/244_HEK293T_P2H11_MXD1_d005/abundance.h5
245	1	1	GFP	A12	HEK293T	2	GFP_1	245_HEK293T_P2A12_GFP_d100	../../output/03-rna/00/output/kallisto/245_HEK293T_P2A12_GFP_d100/abundance.h5
246	1	2	GFP	B12	HEK293T	2	GFP_1	246_HEK293T_P2B12_GFP_d100	../../output/03-rna/00/output/kallisto/246_HEK293T_P2B12_GFP_d100/abundance.h5
329	1	1	OCT4	A2	HEK293T	3	OCT4_1	329_HEK293T_P3A2_OCT4_d100	../../output/03-rna/00/output/kallisto/329_HEK293T_P3A2_OCT4_d100/abundance.h5
330	1	2	OCT4	B2	HEK293T	3	OCT4_1	330_HEK293T_P3B2_OCT4_d100	../../output/03-rna/00/output/kallisto/330_HEK293T_P3B2_OCT4_d100/abundance.h5
331	1	1	KLF4	C2	HEK293T	3	KLF4_1	331_HEK293T_P3C2_KLF4_d100	../../output/03-rna/00/output/kallisto/331_HEK293T_P3C2_KLF4_d100/abundance.h5
332	1	2	KLF4	D2	HEK293T	3	KLF4_1	332_HEK293T_P3D2_KLF4_d100	../../output/03-rna/00/output/kallisto/332_HEK293T_P3D2_KLF4_d100/abundance.h5
333	1	1	EF1a-KLF1	E2	HEK293T	3	EF1a-KLF1_1	333_HEK293T_P3E2_EF1a-KLF1_d100	../../output/03-rna/00/output/kallisto/333_HEK293T_P3E2_EF1a-KLF1_d100/abundance.h5
334	1	2	EF1a-KLF1	F2	HEK293T	3	EF1a-KLF1_1	334_HEK293T_P3F2_EF1a-KLF1_d100	../../output/03-rna/00/output/kallisto/334_HEK293T_P3F2_EF1a-KLF1_d100/abundance.h5
335	1	3	EF1a-KLF1	G2	HEK293T	3	EF1a-KLF1_1	335_HEK293T_P3G2_EF1a-KLF1_d100	../../output/03-rna/00/output/kallisto/335_HEK293T_P3G2_EF1a-KLF1_d100/abundance.h5
336	1	4	EF1a-KLF1	H2	HEK293T	3	EF1a-KLF1_1	336_HEK293T_P3H2_EF1a-KLF1_d100	../../output/03-rna/00/output/kallisto/336_HEK293T_P3H2_EF1a-KLF1_d100/abundance.h5
337	0.75	1	OCT4	A3	HEK293T	3	OCT4_0.75	337_HEK293T_P3A3_OCT4_d075	../../output/03-rna/00/output/kallisto/337_HEK293T_P3A3_OCT4_d075/abundance.h5
338	0.75	2	OCT4	B3	HEK293T	3	OCT4_0.75	338_HEK293T_P3B3_OCT4_d075	../../output/03-rna/00/output/kallisto/338_HEK293T_P3B3_OCT4_d075/abundance.h5
339	0.75	1	KLF4	C3	HEK293T	3	KLF4_0.75	339_HEK293T_P3C3_KLF4_d075	../../output/03-rna/00/output/kallisto/339_HEK293T_P3C3_KLF4_d075/abundance.h5
340	0.75	2	KLF4	D3	HEK293T	3	KLF4_0.75	340_HEK293T_P3D3_KLF4_d075	../../output/03-rna/00/output/kallisto/340_HEK293T_P3D3_KLF4_d075/abundance.h5
341	0.75	1	EF1a-KLF1	E3	HEK293T	3	EF1a-KLF1_0.75	341_HEK293T_P3E3_EF1a-KLF1_d075	../../output/03-rna/00/output/kallisto/341_HEK293T_P3E3_EF1a-KLF1_d075/abundance.h5
342	0.75	2	EF1a-KLF1	F3	HEK293T	3	EF1a-KLF1_0.75	342_HEK293T_P3F3_EF1a-KLF1_d075	../../output/03-rna/00/output/kallisto/342_HEK293T_P3F3_EF1a-KLF1_d075/abundance.h5
343	0.75	3	EF1a-KLF1	G3	HEK293T	3	EF1a-KLF1_0.75	343_HEK293T_P3G3_EF1a-KLF1_d075	../../output/03-rna/00/output/kallisto/343_HEK293T_P3G3_EF1a-KLF1_d075/abundance.h5
344	0.75	4	EF1a-KLF1	H3	HEK293T	3	EF1a-KLF1_0.75	344_HEK293T_P3H3_EF1a-KLF1_d075	../../output/03-rna/00/output/kallisto/344_HEK293T_P3H3_EF1a-KLF1_d075/abundance.h5
345	0.5	1	OCT4	A4	HEK293T	3	OCT4_0.5	345_HEK293T_P3A4_OCT4_d050	../../output/03-rna/00/output/kallisto/345_HEK293T_P3A4_OCT4_d050/abundance.h5
346	0.5	2	OCT4	B4	HEK293T	3	OCT4_0.5	346_HEK293T_P3B4_OCT4_d050	../../output/03-rna/00/output/kallisto/346_HEK293T_P3B4_OCT4_d050/abundance.h5
347	0.5	1	KLF4	C4	HEK293T	3	KLF4_0.5	347_HEK293T_P3C4_KLF4_d050	../../output/03-rna/00/output/kallisto/347_HEK293T_P3C4_KLF4_d050/abundance.h5
348	0.5	2	KLF4	D4	HEK293T	3	KLF4_0.5	348_HEK293T_P3D4_KLF4_d050	../../output/03-rna/00/output/kallisto/348_HEK293T_P3D4_KLF4_d050/abundance.h5
349	0.5	1	EF1a-KLF1	E4	HEK293T	3	EF1a-KLF1_0.5	349_HEK293T_P3E4_EF1a-KLF1_d050	../../output/03-rna/00/output/kallisto/349_HEK293T_P3E4_EF1a-KLF1_d050/abundance.h5
350	0.5	2	EF1a-KLF1	F4	HEK293T	3	EF1a-KLF1_0.5	350_HEK293T_P3F4_EF1a-KLF1_d050	../../output/03-rna/00/output/kallisto/350_HEK293T_P3F4_EF1a-KLF1_d050/abundance.h5
351	0.5	3	EF1a-KLF1	G4	HEK293T	3	EF1a-KLF1_0.5	351_HEK293T_P3G4_EF1a-KLF1_d050	../../output/03-rna/00/output/kallisto/351_HEK293T_P3G4_EF1a-KLF1_d050/abundance.h5
352	0.5	4	EF1a-KLF1	H4	HEK293T	3	EF1a-KLF1_0.5	352_HEK293T_P3H4_EF1a-KLF1_d050	../../output/03-rna/00/output/kallisto/352_HEK293T_P3H4_EF1a-KLF1_d050/abundance.h5
353	0.25	1	OCT4	A5	HEK293T	3	OCT4_0.25	353_HEK293T_P3A5_OCT4_d025	../../output/03-rna/00/output/kallisto/353_HEK293T_P3A5_OCT4_d025/abundance.h5
354	0.25	2	OCT4	B5	HEK293T	3	OCT4_0.25	354_HEK293T_P3B5_OCT4_d025	../../output/03-rna/00/output/kallisto/354_HEK293T_P3B5_OCT4_d025/abundance.h5
355	0.25	1	KLF4	C5	HEK293T	3	KLF4_0.25	355_HEK293T_P3C5_KLF4_d025	../../output/03-rna/00/output/kallisto/355_HEK293T_P3C5_KLF4_d025/abundance.h5
356	0.25	2	KLF4	D5	HEK293T	3	KLF4_0.25	356_HEK293T_P3D5_KLF4_d025	../../output/03-rna/00/output/kallisto/356_HEK293T_P3D5_KLF4_d025/abundance.h5
357	0.25	1	EF1a-KLF1	E5	HEK293T	3	EF1a-KLF1_0.25	357_HEK293T_P3E5_EF1a-KLF1_d025	../../output/03-rna/00/output/kallisto/357_HEK293T_P3E5_EF1a-KLF1_d025/abundance.h5
358	0.25	2	EF1a-KLF1	F5	HEK293T	3	EF1a-KLF1_0.25	358_HEK293T_P3F5_EF1a-KLF1_d025	../../output/03-rna/00/output/kallisto/358_HEK293T_P3F5_EF1a-KLF1_d025/abundance.h5
359	0.25	3	EF1a-KLF1	G5	HEK293T	3	EF1a-KLF1_0.25	359_HEK293T_P3G5_EF1a-KLF1_d025	../../output/03-rna/00/output/kallisto/359_HEK293T_P3G5_EF1a-KLF1_d025/abundance.h5
360	0.25	4	EF1a-KLF1	H5	HEK293T	3	EF1a-KLF1_0.25	360_HEK293T_P3H5_EF1a-KLF1_d025	../../output/03-rna/00/output/kallisto/360_HEK293T_P3H5_EF1a-KLF1_d025/abundance.h5
361	0.05	1	OCT4	A6	HEK293T	3	OCT4_0.05	361_HEK293T_P3A6_OCT4_d005	../../output/03-rna/00/output/kallisto/361_HEK293T_P3A6_OCT4_d005/abundance.h5
362	0.05	2	OCT4	B6	HEK293T	3	OCT4_0.05	362_HEK293T_P3B6_OCT4_d005	../../output/03-rna/00/output/kallisto/362_HEK293T_P3B6_OCT4_d005/abundance.h5
363	0.05	1	KLF4	C6	HEK293T	3	KLF4_0.05	363_HEK293T_P3C6_KLF4_d005	../../output/03-rna/00/output/kallisto/363_HEK293T_P3C6_KLF4_d005/abundance.h5
364	0.05	2	KLF4	D6	HEK293T	3	KLF4_0.05	364_HEK293T_P3D6_KLF4_d005	../../output/03-rna/00/output/kallisto/364_HEK293T_P3D6_KLF4_d005/abundance.h5
365	0.05	1	EF1a-KLF1	E6	HEK293T	3	EF1a-KLF1_0.05	365_HEK293T_P3E6_EF1a-KLF1_d005	../../output/03-rna/00/output/kallisto/365_HEK293T_P3E6_EF1a-KLF1_d005/abundance.h5
366	0.05	2	EF1a-KLF1	F6	HEK293T	3	EF1a-KLF1_0.05	366_HEK293T_P3F6_EF1a-KLF1_d005	../../output/03-rna/00/output/kallisto/366_HEK293T_P3F6_EF1a-KLF1_d005/abundance.h5
367	0.05	3	EF1a-KLF1	G6	HEK293T	3	EF1a-KLF1_0.05	367_HEK293T_P3G6_EF1a-KLF1_d005	../../output/03-rna/00/output/kallisto/367_HEK293T_P3G6_EF1a-KLF1_d005/abundance.h5
368	0.05	4	EF1a-KLF1	H6	HEK293T	3	EF1a-KLF1_0.05	368_HEK293T_P3H6_EF1a-KLF1_d005	../../output/03-rna/00/output/kallisto/368_HEK293T_P3H6_EF1a-KLF1_d005/abundance.h5
369	1	1	SOX2	A7	HEK293T	3	SOX2_1	369_HEK293T_P3A7_SOX2_d100	../../output/03-rna/00/output/kallisto/369_HEK293T_P3A7_SOX2_d100/abundance.h5
370	1	2	SOX2	B7	HEK293T	3	SOX2_1	370_HEK293T_P3B7_SOX2_d100	../../output/03-rna/00/output/kallisto/370_HEK293T_P3B7_SOX2_d100/abundance.h5
371	1	1	MYC	C7	HEK293T	3	MYC_1	371_HEK293T_P3C7_MYC_d100	../../output/03-rna/00/output/kallisto/371_HEK293T_P3C7_MYC_d100/abundance.h5
372	1	2	MYC	D7	HEK293T	3	MYC_1	372_HEK293T_P3D7_MYC_d100	../../output/03-rna/00/output/kallisto/372_HEK293T_P3D7_MYC_d100/abundance.h5
373	1	1	EF1a-SPI1	E7	HEK293T	3	EF1a-SPI1_1	373_HEK293T_P3E7_EF1a-SPI1_d100	../../output/03-rna/00/output/kallisto/373_HEK293T_P3E7_EF1a-SPI1_d100/abundance.h5
374	1	2	EF1a-SPI1	F7	HEK293T	3	EF1a-SPI1_1	374_HEK293T_P3F7_EF1a-SPI1_d100	../../output/03-rna/00/output/kallisto/374_HEK293T_P3F7_EF1a-SPI1_d100/abundance.h5
375	1	3	EF1a-SPI1	G7	HEK293T	3	EF1a-SPI1_1	375_HEK293T_P3G7_EF1a-SPI1_d100	../../output/03-rna/00/output/kallisto/375_HEK293T_P3G7_EF1a-SPI1_d100/abundance.h5
376	1	4	EF1a-SPI1	H7	HEK293T	3	EF1a-SPI1_1	376_HEK293T_P3H7_EF1a-SPI1_d100	../../output/03-rna/00/output/kallisto/376_HEK293T_P3H7_EF1a-SPI1_d100/abundance.h5
377	0.75	1	SOX2	A8	HEK293T	3	SOX2_0.75	377_HEK293T_P3A8_SOX2_d075	../../output/03-rna/00/output/kallisto/377_HEK293T_P3A8_SOX2_d075/abundance.h5
378	0.75	2	SOX2	B8	HEK293T	3	SOX2_0.75	378_HEK293T_P3B8_SOX2_d075	../../output/03-rna/00/output/kallisto/378_HEK293T_P3B8_SOX2_d075/abundance.h5
379	0.75	1	MYC	C8	HEK293T	3	MYC_0.75	379_HEK293T_P3C8_MYC_d075	../../output/03-rna/00/output/kallisto/379_HEK293T_P3C8_MYC_d075/abundance.h5
380	0.75	2	MYC	D8	HEK293T	3	MYC_0.75	380_HEK293T_P3D8_MYC_d075	../../output/03-rna/00/output/kallisto/380_HEK293T_P3D8_MYC_d075/abundance.h5
381	0.75	1	EF1a-SPI1	E8	HEK293T	3	EF1a-SPI1_0.75	381_HEK293T_P3E8_EF1a-SPI1_d075	../../output/03-rna/00/output/kallisto/381_HEK293T_P3E8_EF1a-SPI1_d075/abundance.h5
382	0.75	2	EF1a-SPI1	F8	HEK293T	3	EF1a-SPI1_0.75	382_HEK293T_P3F8_EF1a-SPI1_d075	../../output/03-rna/00/output/kallisto/382_HEK293T_P3F8_EF1a-SPI1_d075/abundance.h5
383	0.75	3	EF1a-SPI1	G8	HEK293T	3	EF1a-SPI1_0.75	383_HEK293T_P3G8_EF1a-SPI1_d075	../../output/03-rna/00/output/kallisto/383_HEK293T_P3G8_EF1a-SPI1_d075/abundance.h5
384	0.75	4	EF1a-SPI1	H8	HEK293T	3	EF1a-SPI1_0.75	384_HEK293T_P3H8_EF1a-SPI1_d075	../../output/03-rna/00/output/kallisto/384_HEK293T_P3H8_EF1a-SPI1_d075/abundance.h5
385	0.5	1	SOX2	A9	HEK293T	3	SOX2_0.5	385_HEK293T_P3A9_SOX2_d050	../../output/03-rna/00/output/kallisto/385_HEK293T_P3A9_SOX2_d050/abundance.h5
386	0.5	2	SOX2	B9	HEK293T	3	SOX2_0.5	386_HEK293T_P3B9_SOX2_d050	../../output/03-rna/00/output/kallisto/386_HEK293T_P3B9_SOX2_d050/abundance.h5
387	0.5	1	MYC	C9	HEK293T	3	MYC_0.5	387_HEK293T_P3C9_MYC_d050	../../output/03-rna/00/output/kallisto/387_HEK293T_P3C9_MYC_d050/abundance.h5
388	0.5	2	MYC	D9	HEK293T	3	MYC_0.5	388_HEK293T_P3D9_MYC_d050	../../output/03-rna/00/output/kallisto/388_HEK293T_P3D9_MYC_d050/abundance.h5
389	0.5	1	EF1a-SPI1	E9	HEK293T	3	EF1a-SPI1_0.5	389_HEK293T_P3E9_EF1a-SPI1_d050	../../output/03-rna/00/output/kallisto/389_HEK293T_P3E9_EF1a-SPI1_d050/abundance.h5
390	0.5	2	EF1a-SPI1	F9	HEK293T	3	EF1a-SPI1_0.5	390_HEK293T_P3F9_EF1a-SPI1_d050	../../output/03-rna/00/output/kallisto/390_HEK293T_P3F9_EF1a-SPI1_d050/abundance.h5
391	0.5	3	EF1a-SPI1	G9	HEK293T	3	EF1a-SPI1_0.5	391_HEK293T_P3G9_EF1a-SPI1_d050	../../output/03-rna/00/output/kallisto/391_HEK293T_P3G9_EF1a-SPI1_d050/abundance.h5
392	0.5	4	EF1a-SPI1	H9	HEK293T	3	EF1a-SPI1_0.5	392_HEK293T_P3H9_EF1a-SPI1_d050	../../output/03-rna/00/output/kallisto/392_HEK293T_P3H9_EF1a-SPI1_d050/abundance.h5
393	0.25	1	SOX2	A10	HEK293T	3	SOX2_0.25	393_HEK293T_P3A10_SOX2_d025	../../output/03-rna/00/output/kallisto/393_HEK293T_P3A10_SOX2_d025/abundance.h5
394	0.25	2	SOX2	B10	HEK293T	3	SOX2_0.25	394_HEK293T_P3B10_SOX2_d025	../../output/03-rna/00/output/kallisto/394_HEK293T_P3B10_SOX2_d025/abundance.h5
395	0.25	1	MYC	C10	HEK293T	3	MYC_0.25	395_HEK293T_P3C10_MYC_d025	../../output/03-rna/00/output/kallisto/395_HEK293T_P3C10_MYC_d025/abundance.h5
396	0.25	2	MYC	D10	HEK293T	3	MYC_0.25	396_HEK293T_P3D10_MYC_d025	../../output/03-rna/00/output/kallisto/396_HEK293T_P3D10_MYC_d025/abundance.h5
397	0.25	1	EF1a-SPI1	E10	HEK293T	3	EF1a-SPI1_0.25	397_HEK293T_P3E10_EF1a-SPI1_d025	../../output/03-rna/00/output/kallisto/397_HEK293T_P3E10_EF1a-SPI1_d025/abundance.h5
398	0.25	2	EF1a-SPI1	F10	HEK293T	3	EF1a-SPI1_0.25	398_HEK293T_P3F10_EF1a-SPI1_d025	../../output/03-rna/00/output/kallisto/398_HEK293T_P3F10_EF1a-SPI1_d025/abundance.h5
399	0.25	3	EF1a-SPI1	G10	HEK293T	3	EF1a-SPI1_0.25	399_HEK293T_P3G10_EF1a-SPI1_d025	../../output/03-rna/00/output/kallisto/399_HEK293T_P3G10_EF1a-SPI1_d025/abundance.h5
400	0.25	4	EF1a-SPI1	H10	HEK293T	3	EF1a-SPI1_0.25	400_HEK293T_P3H10_EF1a-SPI1_d025	../../output/03-rna/00/output/kallisto/400_HEK293T_P3H10_EF1a-SPI1_d025/abundance.h5
401	0.05	1	SOX2	A11	HEK293T	3	SOX2_0.05	401_HEK293T_P3A11_SOX2_d005	../../output/03-rna/00/output/kallisto/401_HEK293T_P3A11_SOX2_d005/abundance.h5
402	0.05	2	SOX2	B11	HEK293T	3	SOX2_0.05	402_HEK293T_P3B11_SOX2_d005	../../output/03-rna/00/output/kallisto/402_HEK293T_P3B11_SOX2_d005/abundance.h5
403	0.05	1	MYC	C11	HEK293T	3	MYC_0.05	403_HEK293T_P3C11_MYC_d005	../../output/03-rna/00/output/kallisto/403_HEK293T_P3C11_MYC_d005/abundance.h5
404	0.05	2	MYC	D11	HEK293T	3	MYC_0.05	404_HEK293T_P3D11_MYC_d005	../../output/03-rna/00/output/kallisto/404_HEK293T_P3D11_MYC_d005/abundance.h5
405	0.05	1	EF1a-SPI1	E11	HEK293T	3	EF1a-SPI1_0.05	405_HEK293T_P3E11_EF1a-SPI1_d005	../../output/03-rna/00/output/kallisto/405_HEK293T_P3E11_EF1a-SPI1_d005/abundance.h5
406	0.05	2	EF1a-SPI1	F11	HEK293T	3	EF1a-SPI1_0.05	406_HEK293T_P3F11_EF1a-SPI1_d005	../../output/03-rna/00/output/kallisto/406_HEK293T_P3F11_EF1a-SPI1_d005/abundance.h5
407	0.05	3	EF1a-SPI1	G11	HEK293T	3	EF1a-SPI1_0.05	407_HEK293T_P3G11_EF1a-SPI1_d005	../../output/03-rna/00/output/kallisto/407_HEK293T_P3G11_EF1a-SPI1_d005/abundance.h5
408	0.05	4	EF1a-SPI1	H11	HEK293T	3	EF1a-SPI1_0.05	408_HEK293T_P3H11_EF1a-SPI1_d005	../../output/03-rna/00/output/kallisto/408_HEK293T_P3H11_EF1a-SPI1_d005/abundance.h5
409	1	1	GFP	A12	HEK293T	3	GFP_1	409_HEK293T_P3A12_GFP_d100	../../output/03-rna/00/output/kallisto/409_HEK293T_P3A12_GFP_d100/abundance.h5
410	1	2	GFP	B12	HEK293T	3	GFP_1	410_HEK293T_P3B12_GFP_d100	../../output/03-rna/00/output/kallisto/410_HEK293T_P3B12_GFP_d100/abundance.h5
